relative_path,size_bytes_S21_1,sha256_S21_1,size_bytes_S21_5,sha256_S21_5,status
app/static/a11y.js,4953.0,b1ad80cb0bf2bec1f227209350e06f07fc34be3d2ff83e8c5efe8e9b5075e607,4953,b1ad80cb0bf2bec1f227209350e06f07fc34be3d2ff83e8c5efe8e9b5075e607,UNCHANGED
app/static/admin.html,1726.0,2ccd347491d56c87f359147c2d0186a3500a77c24f6fe73d0596b0d116590c8d,1726,2ccd347491d56c87f359147c2d0186a3500a77c24f6fe73d0596b0d116590c8d,UNCHANGED
app/static/dashboard.html,1578.0,ba80413a1ee2529424fc8b389dd0cc8cb6fcf97087354f33ca869352845ca7ad,1578,ba80413a1ee2529424fc8b389dd0cc8cb6fcf97087354f33ca869352845ca7ad,UNCHANGED
app/static/editor.html,2466.0,7ad2eff5af6d1c9fad3dd62199076a9e41fe41c1d24abbdd656375848a8a5d5b,2466,7ad2eff5af6d1c9fad3dd62199076a9e41fe41c1d24abbdd656375848a8a5d5b,UNCHANGED
app/static/execute.html,1193.0,9b436e1e6c06e78da3b0a2d3b4a11403ba4e125e9bd8531b98557aa88b6c0256,1193,9b436e1e6c06e78da3b0a2d3b4a11403ba4e125e9bd8531b98557aa88b6c0256,UNCHANGED
app/static/icons/status-fail.svg,207.0,877c72f2736981de8790983394230f7567ff2e59c212ed8cfd2ba91f1914b0cd,207,877c72f2736981de8790983394230f7567ff2e59c212ed8cfd2ba91f1914b0cd,UNCHANGED
app/static/icons/status-info.svg,243.0,38a50992a54976256ff67710f843bc3693dde72777399f9bd659d6672cf45f93,243,38a50992a54976256ff67710f843bc3693dde72777399f9bd659d6672cf45f93,UNCHANGED
app/static/icons/status-pass.svg,421.0,ff8a8fa3234127e49aafcb117dd5b19d33d40346e6b09223eb07684fae1cb427,421,ff8a8fa3234127e49aafcb117dd5b19d33d40346e6b09223eb07684fae1cb427,UNCHANGED
app/static/icons/status-warn.svg,249.0,a3bad381caca07bb0f21c9510a68cce75d32e55c9c9f1c82031dc388bb03770c,249,a3bad381caca07bb0f21c9510a68cce75d32e55c9c9f1c82031dc388bb03770c,UNCHANGED
app/static/index.html,954.0,0a6515fe7c7b5211e50f8d2be986ea22aa9f6bada9c4f8bfd7b00767cc8a887e,954,0a6515fe7c7b5211e50f8d2be986ea22aa9f6bada9c4f8bfd7b00767cc8a887e,UNCHANGED
app/static/inspect.html,953.0,c787e9a6f51487711e13c09c73025af7772f8a419a887a051c0e4463a543124c,953,c787e9a6f51487711e13c09c73025af7772f8a419a887a051c0e4463a543124c,UNCHANGED
app/static/io.html,2201.0,6721c190c66807096b26ca7649972f1cc9994538a78fdcb5e71f66c13e638093,2201,6721c190c66807096b26ca7649972f1cc9994538a78fdcb5e71f66c13e638093,UNCHANGED
app/static/login.html,3349.0,2050c3df1256be69f42b46063ddebbf803a7558b7544044e0ca07cc4eae91dc0,3349,2050c3df1256be69f42b46063ddebbf803a7558b7544044e0ca07cc4eae91dc0,UNCHANGED
app/static/nav.js,5423.0,97f8d59bb5998f67ba1ae8883759d57e85005a29e8c683b896b2eae428a49862,5423,97f8d59bb5998f67ba1ae8883759d57e85005a29e8c683b896b2eae428a49862,UNCHANGED
app/static/onboarding.html,770.0,e710aba5b93a6b2f7ccb99eb0e2d96fd70d577fc32fa12dc7ff7fda6a48b13cb,770,e710aba5b93a6b2f7ccb99eb0e2d96fd70d577fc32fa12dc7ff7fda6a48b13cb,UNCHANGED
app/static/search.html,1057.0,6596fa9e60f82d6352f2c74f08917eb7b2b29db7d8d4bcb8b1690f6261729cad,1057,6596fa9e60f82d6352f2c74f08917eb7b2b29db7d8d4bcb8b1690f6261729cad,UNCHANGED
app/static/session.html,1243.0,69a46e92923c342e71f5f545bc7881bcaf01b497c677dff8ac80a67f6938fa00,1243,69a46e92923c342e71f5f545bc7881bcaf01b497c677dff8ac80a67f6938fa00,UNCHANGED
app/static/style.css,25072.0,6701e6378de0309f30216377ccef42e80f5b402e370c2f360f6bb52883fe589a,25072,6701e6378de0309f30216377ccef42e80f5b402e370c2f360f6bb52883fe589a,UNCHANGED
app/static/theme.css,811.0,2215fee86f47040dd59a7f25397a20d1c6a4ea50e48f8131864ff436c31928c5,811,2215fee86f47040dd59a7f25397a20d1c6a4ea50e48f8131864ff436c31928c5,UNCHANGED
app/static/viewer.html,1343.0,6e38b7259668baa36d138ead66869d9b139a8a8f1625d0cd09773e6e3fa28264,1343,6e38b7259668baa36d138ead66869d9b139a8a8f1625d0cd09773e6e3fa28264,UNCHANGED
app/static/workspaces.html,1545.0,0cbe0f1881825022c90c60d160a5f166538b183599dcad4f30b0e8a3de2509ad,1545,0cbe0f1881825022c90c60d160a5f166538b183599dcad4f30b0e8a3de2509ad,UNCHANGED
app/ui/copy.py,1111.0,b5d4147764874e42c7b661d7a108b6a46d71a7bc5da49d0945ca62f0bc3425ca,1111,b5d4147764874e42c7b661d7a108b6a46d71a7bc5da49d0945ca62f0bc3425ca,UNCHANGED
app/utils/__init__.py,,,61,e101aef8348f9cfe3de84a07371305a87e7c3fddde50b797a147aee4945354fe,ADDED
app/utils/graph_export.py,,,2800,e7ad4b1fe61fda47b89ea67af0f6727b20b131dd411a7952774dd921bd5ed149,ADDED
app/utils/turbo_quality.py,,,1969,4822026ba5158821b94ed3709a76de40a27961bf905f7ca99fa55cc4fdecb7f9,ADDED
audit/S20.16_critical_hashes.csv,199.0,6a5a5a01b3fa173e59871e17af87409c5e2251855fac9a01a679345b36362178,199,6a5a5a01b3fa173e59871e17af87409c5e2251855fac9a01a679345b36362178,UNCHANGED
audit/S20.16_delta_summary.json,57.0,9d0f039cb9064cd8b5404eb35433ce2a2d526eac1fecb0d71e48be8749c4e27b,57,9d0f039cb9064cd8b5404eb35433ce2a2d526eac1fecb0d71e48be8749c4e27b,UNCHANGED
audit/S20.16_manifest_after.csv,4139.0,322484512c1b826f2884165dde6703a705bb69733f2588ee6158cdaab2395bee,4139,322484512c1b826f2884165dde6703a705bb69733f2588ee6158cdaab2395bee,UNCHANGED
audit/S20.16_manifest_baseline.csv,4047.0,c61fc185b7dd1ea95920e1b7771239b18b65f1bdec47dd194025e5753ec2f873,4047,c61fc185b7dd1ea95920e1b7771239b18b65f1bdec47dd194025e5753ec2f873,UNCHANGED
audit/S20.16_manifest_diff.csv,7699.0,eadd0e397f2c7244795f5fa8bbc67b80aad05aa4ed5293b278973b6b3b845825,7699,eadd0e397f2c7244795f5fa8bbc67b80aad05aa4ed5293b278973b6b3b845825,UNCHANGED
audit/S20.16_stub_sweep.csv,1.0,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,1,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,UNCHANGED
audit/S20.16_wcag_matrix.csv,2142.0,5ade9607f539f7ac2086ed48fb6eceea1fe735500b680edc76684486ab6743ef,2142,5ade9607f539f7ac2086ed48fb6eceea1fe735500b680edc76684486ab6743ef,UNCHANGED
docs/Checklist_21.md,684.0,6e29523bb4dbca0025c35b14f4412fdd9d5141d7dd407d4335d6e0985892025a,684,6e29523bb4dbca0025c35b14f4412fdd9d5141d7dd407d4335d6e0985892025a,UNCHANGED
docs/Sprint21_LOG.md,283.0,030c94503c46aed4b610b3ff8e04ff9713a25d09cdc5b63bf8979814dbef9e22,1242,8490cabda668b31f51df3869d569354277c937d2ba1f05e0eba965378157645e,CHANGED
qc/S21.1_QC_v2.md,556.0,c1d9d571478679b7de4e464ae0686e728a0ac9ab6cecb6f917b60d6211b41029,556,c1d9d571478679b7de4e464ae0686e728a0ac9ab6cecb6f917b60d6211b41029,UNCHANGED
qc/S21.1_manifest.csv,383.0,48a8aed43a71bea02d9b84efd7420595f30f57c0918c45d8780fa9e7080692d9,383,48a8aed43a71bea02d9b84efd7420595f30f57c0918c45d8780fa9e7080692d9,UNCHANGED
qc/S21.2_QC_v2.md,,,368,48645ac5e7d4ff1db45e5413efd072d10df207b13b658d1b118a22b14873ea87,ADDED
qc/S21.2_critical_hashes.csv,,,394,c8e91b5e70608beabe1a5ddef79dcfea68254e9ff5b1124bfdaf2c8ce1f017c0,ADDED
qc/S21.2_delta_summary.json,,,117,080d6519ef9b0f54ef8c477983fb571cb3646088d041e9b1d91f72f60b863425,ADDED
qc/S21.2_manifest.csv,,,320,4b2085070c4aa9c5f838f418eb467e94c8173b3c0ca096b01bbd3deab246a30f,ADDED
qc/S21.2_manifest_after.csv,,,5925,267c1e6ef91245c7776284391c65c0436094cf326808fab5d997dd36d6a3908c,ADDED
qc/S21.2_manifest_baseline.csv,,,4774,5e09efb1e71899077f93fb161eb6ef0347d0482f586191952ca12889d102edf2,ADDED
qc/S21.2_manifest_diff.csv,,,10231,c1680da32ce29715212686837d32db0a74509c1f8e7c427d8acdb8c4cade13a3,ADDED
qc/S21.2a_QC_v2.md,,,478,40ba8d7c097938ba8cc0f14448e3cc239808600e0f8df20d7781691b9ce3863f,ADDED
qc/S21.2a_critical_hashes.csv,,,394,c8e91b5e70608beabe1a5ddef79dcfea68254e9ff5b1124bfdaf2c8ce1f017c0,ADDED
qc/S21.2a_delta_summary.json,,,151,e4204f72b1e1658a42edb4f96ce90ac432c755f8346db861f97db4b8b35c4c2a,ADDED
qc/S21.2a_manifest_after.csv,,,5342,084b1f7416a54029abba0b3c95852b6d8532d92775abc6a5d0a359f1df9fad45,ADDED
qc/S21.2a_manifest_baseline.csv,,,5146,c5db0490fec939bf638ff1bec76e1dfdf1028780fd5f879f411582a5519bbb5c,ADDED
qc/S21.2a_manifest_diff.csv,,,9894,25170fa87b9af2708b321d5bfa251e89823b2c78938e76e6707ce96a1038fc45,ADDED
qc/S21.3_QC_v2.md,,,408,5fd7af8872634a00104db9de2bc7267330e1fc7826038dbd018798602b375633,ADDED
qc/S21.3_critical_hashes.csv,,,491,bc53e56befee4329a15617fea8dc4822823050247e9e91d11cee4392badfec47,ADDED
qc/S21.3_manifest.csv,,,320,571eb1e747ebe40d14d5c7a6dcd5b55f28fbccada5291602bbc568569cf27ed2,ADDED
qc/S21.4_QC_v2.md,,,435,1cc88d51587ccbbd65bd44036a1ec6945b0f063d4b5b95d7734e4060d6294e5a,ADDED
qc/S21.4_critical_hashes.csv,,,491,bc53e56befee4329a15617fea8dc4822823050247e9e91d11cee4392badfec47,ADDED
qc/S21.4_manifest.csv,,,629,0bb863b55762220cdc761751618750b73c7c737ef69082939571b0ff48ea1e05,ADDED
qc/S21.5_QC_v2.md,,,443,92aff5bce084b5ef03d8b60527849821d81407750e981a5afff28f622aaee486,ADDED
qc/S21.5_consistency_scan.csv,,,103,a16c613388454baa8ba036295fe7150474d993ae7224e97f2a645e9ebd5200e7,ADDED
qc/S21.5_critical_hashes.csv,,,583,e814797f5c5c04e0ac3bd4d379e93dd21955ec07c21b9a0618a7e8f45e8dc8c5,ADDED
qc/S21.5_manifest.csv,,,591,9dd61ee86ae966ab81f95dc6a64f08153d8b75291a85a3a0754ef3e7afed76d1,ADDED
qc/S21_QC_SEED.md,480.0,8023288901819fa82bc50c0e5e1aaffd9db4c8a3609e2ccfee3eb1108c64a847,480,8023288901819fa82bc50c0e5e1aaffd9db4c8a3609e2ccfee3eb1108c64a847,UNCHANGED
